experiment,config,seed,best_epoch,imputation_accuracy,dosage_r2,train_accuracy,val_accuracy,baseline_majority_accuracy,baseline_explicit_ld_accuracy,model_minus_explicit_ld,model_minus_majority,explicit_r2_seconds,accuracy_maf_low,accuracy_maf_mid,accuracy_maf_high,baseline_explicit_ld_accuracy_maf_low,baseline_explicit_ld_accuracy_maf_mid,baseline_explicit_ld_accuracy_maf_high,baseline_majority_accuracy_maf_low,baseline_majority_accuracy_maf_mid,baseline_majority_accuracy_maf_high,attention_vs_r2_pearson,attention_vs_r2_spearman,bias_vs_r2_pearson,bias_vs_r2_spearman,attention_vs_r2_partial_pearson,bias_vs_r2_partial_pearson,distance_baseline_vs_r2_pearson
ablation,genotype_only,5,230,0.9888334274291992,0.983439322585955,0.9926623745502746,0.9903432726860046,0.6489923596382141,0.9520637392997742,0.03676968812942505,0.3398410677909851,0.0055265560004045255,0.9879299998283386,0.9894698858261108,0.98893803358078,0.9692214727401733,0.943238377571106,0.9472187161445618,0.8548150658607483,0.672989547252655,0.4770543575286865,0.6072958113804684,0.35359469015856204,0.6693277360288468,0.44441520037897375,0.5406617286345186,0.6090039446320835,0.2783763219016201
ablation,both,0,240,0.9827720522880554,0.9775256322209316,0.9880820603645487,0.9821646809577942,0.6522088050842285,0.8913106918334961,0.09146136045455933,0.3305632472038269,0.004753293000248959,0.9887366890907288,0.9858604669570923,0.9733323454856873,0.9544140100479126,0.8971182107925415,0.8217595815658569,0.8331811428070068,0.6539859771728516,0.4695335030555725,0.741782265293118,0.47851159646699504,0.7183130852581316,0.46600981769931965,0.6539905402905778,0.6276026063124127,0.3294105916425193
ablation,both,1,250,0.9916198253631592,0.9895834616260721,0.9963752962498257,0.9936828017234802,0.6567767858505249,0.9556287527084351,0.03599107265472412,0.3348430395126343,0.0026860519974434283,0.9630895256996155,0.9952231645584106,0.9907331466674805,0.9227614402770996,0.9789437651634216,0.9134820699691772,0.8554340600967407,0.7138872146606445,0.4865507483482361,0.5032066653285837,0.46052791770865176,0.7135765022765518,0.5831649270383341,0.40572010469954256,0.6706030377702252,0.3004945343237702
ablation,both,2,250,0.9920834302902222,0.9886550263408935,0.9932071619286948,0.993914783000946,0.7346357107162476,0.9497722387313843,0.04231119155883789,0.2574477195739746,0.005136864001542563,0.9921141862869263,0.9949455857276917,0.9864974617958069,0.9746417999267578,0.9606177806854248,0.8637591004371643,0.8469229936599731,0.7015795111656189,0.5040507912635803,0.6051063919493649,0.43370243394587193,0.7173425879123632,0.456679690221137,0.56977599807879,0.6986562616948612,0.26630716627917334
ablation,both,3,200,0.9942697286605835,0.9921378070874063,0.993912471207634,0.9916382431983948,0.6858565211296082,0.9507102370262146,0.043559491634368896,0.30841320753097534,0.00389792900023167,0.9923573136329651,0.9953266978263855,0.9934210777282715,0.9635732173919678,0.96127849817276,0.897116482257843,0.8617369532585144,0.6605190634727478,0.5228163599967957,0.4809918393266745,0.43859041605486504,0.7167673511970132,0.5173009156822351,0.3949370421157499,0.6636016193699746,0.3455938714802202
ablation,both,4,240,0.9875121712684631,0.9834610748320962,0.991324200913242,0.9883173704147339,0.7609542608261108,0.9544547200202942,0.033057451248168945,0.2265579104423523,0.005320682001183741,0.9934707880020142,0.9716486930847168,0.9770169258117676,0.9809991717338562,0.9066255688667297,0.9006904363632202,0.8762746453285217,0.76579350233078,0.46212050318717957,0.45039496481478525,0.5190026181222923,0.7297153604280765,0.4287191162621078,0.4234376838265777,0.7197427191731088,0.21336041952357798
ablation,both,5,200,0.988663911819458,0.9835450123847558,0.9943665972353721,0.990505576133728,0.6489923596382141,0.9520637392997742,0.03660017251968384,0.3396715521812439,0.0037414680009533186,0.9869816303253174,0.9888929128646851,0.9896965622901917,0.9692214727401733,0.943238377571106,0.9472187161445618,0.8548150658607483,0.672989547252655,0.4770543575286865,0.5682925817809238,0.34314346462845824,0.6814677824554469,0.5199474864220561,0.496304575376487,0.625904993474514,0.2783763219016201
scaling,no_bias_n200,0,240,0.9071350693702698,0.8603646263875362,0.9362784045765136,0.927409291267395,0.6438555717468262,0.8842834830284119,0.02285158634185791,0.2632794976234436,0.0009694879991002381,0.9144122004508972,0.9098644256591797,0.896835207939148,0.9296606183052063,0.9048125743865967,0.8146321177482605,0.8583374619483948,0.6322786211967468,0.4825318455696106,0.5618790097194998,0.45313671692219143,0.0,0.29179039057403083,0.45507278825077974,0.0,0.3396974522806955
scaling,no_bias_n200,1,240,0.9461763501167297,0.9233625041582663,0.9431988041853513,0.9478155374526978,0.6244519948959351,0.9033122062683105,0.04286414384841919,0.3217243552207947,0.0011493809979583602,0.952552855014801,0.9385026693344116,0.9473814964294434,0.9654461145401001,0.9389483332633972,0.8535616993904114,0.8839607834815979,0.7486631274223328,0.4303797483444214,0.465304265809734,0.28468414298072703,0.0,0.16585606187656424,0.3632685322551168,0.0,0.3007878106327779
scaling,no_bias_n200,2,230,0.9237979054450989,0.8882151236421443,0.9550413844996237,0.9249201416969299,0.7057821154594421,0.9186853170394897,0.005112588405609131,0.21801578998565674,0.0028868660010630265,0.9345216155052185,0.9242542386054993,0.9044072031974792,0.9556202292442322,0.9247730374336243,0.8410924673080444,0.858493983745575,0.6845654845237732,0.49596524238586426,0.47340665902057566,0.3050758674202864,0.0,0.14880264127415288,0.4082085453920007,0.0,0.18759499644684774
scaling,both_n200,0,240,0.935456395149231,0.9027893512868701,0.9512156364214206,0.948685884475708,0.6438555717468262,0.8842834830284119,0.05117291212081909,0.2916008234024048,0.0015016010002000257,0.9208067059516907,0.945759117603302,0.931771457195282,0.9296606183052063,0.9048125743865967,0.8146321177482605,0.8583374619483948,0.6322786211967468,0.4825318455696106,0.616478193696336,0.41253631865132745,0.5559133739098205,0.39789898630514425,0.5077654226389969,0.4277885227989779,0.3396974522806955
scaling,both_n200,1,220,0.9536044597625732,0.9292203599147939,0.9581464872944694,0.9470064640045166,0.6244519948959351,0.9033122062683105,0.050292253494262695,0.3291524648666382,0.0010016669984906912,0.964414656162262,0.9474153518676758,0.951849102973938,0.9654461145401001,0.9389483332633972,0.8535616993904114,0.8839607834815979,0.7486631274223328,0.4303797483444214,0.5340626095334772,0.34729567714175136,0.561301582872439,0.35620979765287636,0.42495184682829373,0.45345828268231847,0.3007878106327779
scaling,both_n200,2,240,0.9498478174209595,0.9340732535197418,0.9714070729872084,0.9424920082092285,0.7057821154594421,0.9186853170394897,0.031162500381469727,0.24406570196151733,0.004349080001702532,0.947981059551239,0.957198441028595,0.9354438185691833,0.9556202292442322,0.9247730374336243,0.8410924673080444,0.858493983745575,0.6845654845237732,0.49596524238586426,0.4824819674883857,0.2643218895908344,0.39826193780503955,0.14531968876905318,0.41262265656002906,0.31731497937400943,0.18759499644684774
scaling,no_bias_n400,0,210,0.964598536491394,0.9499767151440928,0.9838548752834467,0.9699465036392212,0.6297445297241211,0.9287713170051575,0.03582721948623657,0.33485400676727295,0.0016576470006839372,0.9637681245803833,0.9700613021850586,0.9621211886405945,0.9588592648506165,0.9328147172927856,0.9103535413742065,0.8775128722190857,0.6881188154220581,0.46464645862579346,0.47405132723244325,0.32225124852857073,0.0,-0.06424127038680066,0.337220729887978,0.0,0.3925715392869008
scaling,no_bias_n400,1,230,0.971152663230896,0.9515799916925971,0.9830609212481426,0.9739024639129639,0.6817014813423157,0.9217699766159058,0.049382686614990234,0.2894511818885803,0.002754152999841608,0.9670937061309814,0.9760699272155762,0.96844083070755,0.9580507278442383,0.9332719445228577,0.8843398094177246,0.8419994711875916,0.7616198658943176,0.4839645028114319,0.3907440648946232,0.27779637984441813,0.0,0.06698825444758595,0.2937767744338908,0.0,0.24881315937907073
scaling,no_bias_n400,2,240,0.9901177287101746,0.9868497920653887,0.9905754962903549,0.9800407290458679,0.729518711566925,0.9416214227676392,0.0484963059425354,0.2605990171432495,0.0013797390020044986,0.9726775884628296,0.9974990487098694,0.9796686768531799,0.94138103723526,0.9702770113945007,0.8669678568840027,0.8618976473808289,0.7813582420349121,0.5273594260215759,0.5378036516201371,0.4530641112770942,0.0,0.2223309616417288,0.4284749872597788,0.0,0.3546597822873189
scaling,both_n400,0,230,0.9710462093353271,0.9614692845463111,0.9902947845804989,0.9779744744300842,0.6297445297241211,0.9287713170051575,0.04227489233016968,0.34130167961120605,0.0024923370001488365,0.9728845357894897,0.974776029586792,0.9680555462837219,0.9588592648506165,0.9328147172927856,0.9103535413742065,0.8775128722190857,0.6881188154220581,0.46464645862579346,0.5550674095967297,0.38113834405146224,0.7037981991256198,0.5324792638206626,0.4601770204042313,0.6299580728908877,0.3925715392869008
scaling,both_n400,1,210,0.9800146818161011,0.9679965989724373,0.9853392768697375,0.9775440096855164,0.6817014813423157,0.9217699766159058,0.05824470520019531,0.2983132004737854,0.02699719700103742,0.9758854508399963,0.9845068454742432,0.9778232574462891,0.9580507278442383,0.9332719445228577,0.8843398094177246,0.8419994711875916,0.7616198658943176,0.4839645028114319,0.47550996168290205,0.3018379035594014,0.47370587672797837,0.26959836928628733,0.4098873818651531,0.4155905537122473,0.24881315937907073
scaling,both_n400,2,210,0.9902397394180298,0.9873896373712263,0.9894726288349709,0.982077419757843,0.729518711566925,0.9416214227676392,0.048618316650390625,0.26072102785110474,0.003758988998015411,0.9776452779769897,0.9962485432624817,0.9809237122535706,0.94138103723526,0.9702770113945007,0.8669678568840027,0.8618976473808289,0.7813582420349121,0.5273594260215759,0.6012658510154696,0.4445084014486245,0.6690029287627705,0.49165237304477627,0.5314511581278568,0.5971589102810577,0.3546597822873189
scaling,no_bias_n1000,0,240,0.9795888662338257,0.9740124964690864,0.9861633827761789,0.9816760420799255,0.6522088050842285,0.8913106918334961,0.08827817440032959,0.32738006114959717,0.004248812998412177,0.9808219075202942,0.9845138788223267,0.9728004932403564,0.9544140100479126,0.8971182107925415,0.8217595815658569,0.8331811428070068,0.6539859771728516,0.4695335030555725,0.6753943299661382,0.4885637009602859,0.0,0.1769246527535653,0.5678801650964667,0.0,0.3294105916425193
scaling,no_bias_n1000,1,240,0.9876235127449036,0.9831735863062683,0.9923788280124541,0.9888424277305603,0.6567767858505249,0.9556287527084351,0.031994760036468506,0.33084672689437866,0.0046602889997302555,0.9627477526664734,0.9919367432594299,0.9843365550041199,0.9227614402770996,0.9789437651634216,0.9134820699691772,0.8554340600967407,0.7138872146606445,0.4865507483482361,0.4649117463330634,0.4510176056301101,0.0,-0.03901427615217476,0.3552426269577614,0.0,0.3004945343237702
scaling,no_bias_n1000,2,220,0.9916936755180359,0.9874549073028902,0.9931286320087953,0.9934279918670654,0.7346357107162476,0.9497722387313843,0.04192143678665161,0.25705796480178833,0.005928037000558106,0.9923203587532043,0.9950860142707825,0.983526885509491,0.9746417999267578,0.9606177806854248,0.8637591004371643,0.8469229936599731,0.7015795111656189,0.5040507912635803,0.5641734795019961,0.41143238026494844,0.0,0.15977737589565488,0.5170932455328515,0.0,0.26630716627917334
scaling,both_n1000,0,240,0.9821402430534363,0.9770563616696251,0.9857575086709468,0.9812688231468201,0.6522088050842285,0.8913106918334961,0.09082955121994019,0.32993143796920776,0.004780200000823243,0.9840943813323975,0.9859951734542847,0.9758395552635193,0.9544140100479126,0.8971182107925415,0.8217595815658569,0.8331811428070068,0.6539859771728516,0.4695335030555725,0.725976927478617,0.4769526429509173,0.7314575414176353,0.4682516773829506,0.6325218490622806,0.6432213990921665,0.3294105916425193
scaling,both_n1000,1,220,0.9910385608673096,0.9885436102013614,0.9962358845671268,0.9947493672370911,0.6567767858505249,0.9556287527084351,0.03540980815887451,0.33426177501678467,0.005448854000860592,0.9583048820495605,0.9950703382492065,0.9902411103248596,0.9227614402770996,0.9789437651634216,0.9134820699691772,0.8554340600967407,0.7138872146606445,0.4865507483482361,0.5135118479082307,0.47596578065298445,0.7240132752370634,0.568541687758073,0.42012939253129034,0.6831131651670614,0.3004945343237702
scaling,both_n1000,2,200,0.9917423725128174,0.9873921249334359,0.9934427516883932,0.9926166534423828,0.7346357107162476,0.9497722387313843,0.041970133781433105,0.2571066617965698,0.003924100001313491,0.9930419325828552,0.9939627647399902,0.9840669631958008,0.9746417999267578,0.9606177806854248,0.8637591004371643,0.8469229936599731,0.7015795111656189,0.5040507912635803,0.6032004165068431,0.45665128546308514,0.7221152125226403,0.4743099242381612,0.5655270077416882,0.7000132519101987,0.26630716627917334
